"","ProjectName","PlotID","LineID","Meter.Mark","AIM.Species.Woody","AIM.Height.Woody","AIM.Species.Herbaceous","AIM.Height.Herbaceous","AIM.Herbaceous.Habit","AIM.Herbaceous.Duration","HAF.Species.Woody","HAF.Height.Woody","HAF.Species.PF","HAF.Height.PF","HAF.Species.PG","HAF.Height.PG","HAF.Height.Herbaceous","AIM.Height.PG","AIM.Height.PF"
"21","Bruneau FO 2015","BasinCM001","1",5,"CHVI8",26,"AGGL",20,"Forb","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,20
"22","Bruneau FO 2015","BasinCM001","1",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bruneau FO 2015","BasinCM001","1",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",31,31,NA,NA
"24","Bruneau FO 2015","BasinCM001","1",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bruneau FO 2015","BasinCM001","1",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bruneau FO 2015","BasinCM001","2",1,"",NA,"",NA,NA,NA,"CHVI8",23,NA,NA,"ELEL5",26,26,NA,NA
"27","Bruneau FO 2015","BasinCM001","2",10,"ARTRV",39,"POSE",45,"Graminoid","Perennial","ARTRV",42,NA,NA,"POSE",35,35,45,NA
"28","Bruneau FO 2015","BasinCM001","2",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Bruneau FO 2015","BasinCM001","2",12,"",NA,"",NA,NA,NA,"CHVI8",11,NA,NA,"POSE",23,23,NA,NA
"30","Bruneau FO 2015","BasinCM001","2",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",29,29,NA,NA
"31","Bruneau FO 2015","BasinCM001","2",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",18,18,NA,NA
"32","Bruneau FO 2015","BasinCM001","2",15,"",NA,"POSE",21,"Graminoid","Perennial",NA,NA,"ERAP",13,NA,NA,13,21,NA
"33","Bruneau FO 2015","BasinCM001","2",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Bruneau FO 2015","BasinCM001","2",17,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Bruneau FO 2015","BasinCM001","2",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",22,22,NA,NA
"36","Bruneau FO 2015","BasinCM001","2",19,"",NA,"",NA,NA,NA,"CHVI8",40,NA,NA,NA,NA,NA,NA,NA
"37","Bruneau FO 2015","BasinCM001","2",2,"",NA,"",NA,NA,NA,"CHVI8",30,NA,NA,"POSE",9,9,NA,NA
"38","Bruneau FO 2015","BasinCM001","2",20,"",NA,"POSE",41,"Graminoid","Perennial",NA,NA,NA,NA,"FEID",47,47,41,NA
"39","Bruneau FO 2015","BasinCM001","2",21,"",NA,"",NA,NA,NA,NA,NA,"IOAL",9,"POSE",23,23,NA,NA
"40","Bruneau FO 2015","BasinCM001","2",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bruneau FO 2015","BasinCM001","2",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Bruneau FO 2015","BasinCM001","2",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",34,34,NA,NA
"43","Bruneau FO 2015","BasinCM001","2",25,"CHVI8",38,"ELEL5",38,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,38,NA
"44","Bruneau FO 2015","BasinCM001","2",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bruneau FO 2015","BasinCM001","2",4,"",NA,"",NA,NA,NA,"CHVI8",33,NA,NA,"POSE",44,44,NA,NA
"46","Bruneau FO 2015","BasinCM001","2",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bruneau FO 2015","BasinCM001","2",6,"",NA,"",NA,NA,NA,"ARTRV",26,NA,NA,"FEID",40,40,NA,NA
"48","Bruneau FO 2015","BasinCM001","2",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bruneau FO 2015","BasinCM001","2",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",5,5,NA,NA
"50","Bruneau FO 2015","BasinCM001","2",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",36,36,NA,NA
"51","Bruneau FO 2015","BasinCM001","3",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",4,4,NA,NA
"52","Bruneau FO 2015","BasinCM001","3",10,"CHVI8",26,"POSE",21,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,21,NA
"53","Bruneau FO 2015","BasinCM001","3",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Bruneau FO 2015","BasinCM001","3",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",17,17,NA,NA
"55","Bruneau FO 2015","BasinCM001","3",13,"",NA,"",NA,NA,NA,"CHVI8",25,NA,NA,"POSE",18,18,NA,NA
"56","Bruneau FO 2015","BasinCM001","3",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Bruneau FO 2015","BasinCM001","3",15,"",NA,"POSE",26,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,26,NA
"58","Bruneau FO 2015","BasinCM001","3",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bruneau FO 2015","BasinCM001","3",17,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",10,10,NA,NA
"60","Bruneau FO 2015","BasinCM001","3",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",28,28,NA,NA
"61","Bruneau FO 2015","BasinCM001","3",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Bruneau FO 2015","BasinCM001","3",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",2,2,NA,NA
"63","Bruneau FO 2015","BasinCM001","3",20,"CHVI8",8,"POSE",18,"Graminoid","Perennial",NA,NA,NA,NA,"POSE",13,13,18,NA
"64","Bruneau FO 2015","BasinCM001","3",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Bruneau FO 2015","BasinCM001","3",22,"",NA,"",NA,NA,NA,NA,NA,"ANDI2",2,NA,NA,2,NA,NA
"66","Bruneau FO 2015","BasinCM001","3",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Bruneau FO 2015","BasinCM001","3",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Bruneau FO 2015","BasinCM001","3",25,"CHVI8",4,"POSE",28,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,28,NA
"69","Bruneau FO 2015","BasinCM001","3",3,"",NA,"",NA,NA,NA,"CHVI8",22,NA,NA,NA,NA,NA,NA,NA
"70","Bruneau FO 2015","BasinCM001","3",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bruneau FO 2015","BasinCM001","3",5,"CHVI8",6,"POSE",17,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,17,NA
"72","Bruneau FO 2015","BasinCM001","3",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Bruneau FO 2015","BasinCM001","3",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",16,16,NA,NA
"74","Bruneau FO 2015","BasinCM001","3",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",36,36,NA,NA
"75","Bruneau FO 2015","BasinCM001","3",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Bruneau FO 2015","BasinCM002","1",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Bruneau FO 2015","BasinCM002","1",10,"PPSH",25,"ELEL5",40,"Graminoid","Perennial",NA,NA,NA,NA,"ELEL5",25,25,40,NA
"78","Bruneau FO 2015","BasinCM002","1",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",39,39,NA,NA
"79","Bruneau FO 2015","BasinCM002","1",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Bruneau FO 2015","BasinCM002","1",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",24,24,NA,NA
"81","Bruneau FO 2015","BasinCM002","1",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",58,58,NA,NA
"82","Bruneau FO 2015","BasinCM002","1",15,"",NA,"POSE",36,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,36,NA
"83","Bruneau FO 2015","BasinCM002","1",16,"",NA,"",NA,NA,NA,"ARARL2",13,NA,NA,"ELEL5",16,16,NA,NA
"84","Bruneau FO 2015","BasinCM002","1",17,"",NA,"",NA,NA,NA,"ARARL2",19,NA,NA,"ELEL5",30,30,NA,NA
"85","Bruneau FO 2015","BasinCM002","1",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Bruneau FO 2015","BasinCM002","1",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Bruneau FO 2015","BasinCM002","1",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Bruneau FO 2015","BasinCM002","1",20,"",NA,"ELEL5",38,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,38,NA
"89","Bruneau FO 2015","BasinCM002","1",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",43,43,NA,NA
"90","Bruneau FO 2015","BasinCM002","1",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Bruneau FO 2015","BasinCM002","1",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Bruneau FO 2015","BasinCM002","1",24,"",NA,"",NA,NA,NA,"ARARL2",22,NA,NA,NA,NA,NA,NA,NA
"93","Bruneau FO 2015","BasinCM002","1",25,"",NA,"ELEL5",41,"Graminoid","Perennial","ARARL2",21,NA,NA,NA,NA,NA,41,NA
"94","Bruneau FO 2015","BasinCM002","1",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Bruneau FO 2015","BasinCM002","1",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Bruneau FO 2015","BasinCM002","1",5,"",NA,"ELEL5",43,"Graminoid","Perennial","ARARL2",38,NA,NA,"PSSP6",49,49,43,NA
"97","Bruneau FO 2015","BasinCM002","1",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Bruneau FO 2015","BasinCM002","1",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",12,12,NA,NA
"99","Bruneau FO 2015","BasinCM002","1",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Bruneau FO 2015","BasinCM002","1",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"PSSSP6",32,32,NA,NA
"101","Bruneau FO 2015","BasinCM002","2",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Bruneau FO 2015","BasinCM002","2",10,"",NA,"PSSP6",65,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,65,NA
"103","Bruneau FO 2015","BasinCM002","2",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",38,38,NA,NA
"104","Bruneau FO 2015","BasinCM002","2",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Bruneau FO 2015","BasinCM002","2",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",17,17,NA,NA
"106","Bruneau FO 2015","BasinCM002","2",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"PSSP6",58,58,NA,NA
"107","Bruneau FO 2015","BasinCM002","2",15,"",NA,"PSSP6",65,"Graminoid","Perennial",NA,NA,NA,NA,"POSE",6,6,65,NA
"108","Bruneau FO 2015","BasinCM002","2",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Bruneau FO 2015","BasinCM002","2",17,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Bruneau FO 2015","BasinCM002","2",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",28,28,NA,NA
"111","Bruneau FO 2015","BasinCM002","2",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",23,23,NA,NA
"112","Bruneau FO 2015","BasinCM002","2",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Bruneau FO 2015","BasinCM002","2",20,"",NA,"POSE",38,"Graminoid","Perennial",NA,NA,NA,NA,"ELEL5",22,22,38,NA
"114","Bruneau FO 2015","BasinCM002","2",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Bruneau FO 2015","BasinCM002","2",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",32,32,NA,NA
"116","Bruneau FO 2015","BasinCM002","2",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",41,41,NA,NA
"117","Bruneau FO 2015","BasinCM002","2",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Bruneau FO 2015","BasinCM002","2",25,"",NA,"PSSP6",54,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,54,NA
"119","Bruneau FO 2015","BasinCM002","2",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",39,39,NA,NA
"120","Bruneau FO 2015","BasinCM002","2",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Bruneau FO 2015","BasinCM002","2",5,"",NA,"PSSP6",47,"Graminoid","Perennial",NA,NA,NA,NA,"ELEL5",42,42,47,NA
"122","Bruneau FO 2015","BasinCM002","2",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Bruneau FO 2015","BasinCM002","2",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Bruneau FO 2015","BasinCM002","2",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",38,38,NA,NA
"125","Bruneau FO 2015","BasinCM002","2",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Bruneau FO 2015","BasinCM002","3",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ELEL5",19,19,NA,NA
"127","Bruneau FO 2015","BasinCM002","3",10,"",NA,"POSE",30,"Graminoid","Perennial",NA,NA,NA,NA,"PSSP6",70,70,30,NA
"128","Bruneau FO 2015","BasinCM002","3",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Bruneau FO 2015","BasinCM002","3",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Bruneau FO 2015","BasinCM002","3",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Bruneau FO 2015","BasinCM002","3",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",48,48,NA,NA
"132","Bruneau FO 2015","BasinCM002","3",15,"ARARL",20,"ELEL5",26,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,26,NA
"133","Bruneau FO 2015","BasinCM002","3",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Bruneau FO 2015","BasinCM002","3",17,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Bruneau FO 2015","BasinCM002","3",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Bruneau FO 2015","BasinCM002","3",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Bruneau FO 2015","BasinCM002","3",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Bruneau FO 2015","BasinCM002","3",20,"ARARL",27,"POSE",42,"Graminoid","Perennial",NA,NA,NA,NA,"POSE",42,42,42,NA
"139","Bruneau FO 2015","BasinCM002","3",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",39,39,NA,NA
"140","Bruneau FO 2015","BasinCM002","3",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",22,22,NA,NA
"141","Bruneau FO 2015","BasinCM002","3",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Bruneau FO 2015","BasinCM002","3",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Bruneau FO 2015","BasinCM002","3",25,"ARARL",18,"POSE",29,"Graminoid","Perennial",NA,NA,NA,NA,"POSE",47,47,29,NA
"144","Bruneau FO 2015","BasinCM002","3",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",93,93,NA,NA
"145","Bruneau FO 2015","BasinCM002","3",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Bruneau FO 2015","BasinCM002","3",5,"ARARL",32,"POSE",48,"Graminoid","Perennial",NA,NA,NA,NA,"PSSP6",59,59,48,NA
"147","Bruneau FO 2015","BasinCM002","3",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Bruneau FO 2015","BasinCM002","3",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Bruneau FO 2015","BasinCM002","3",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"PSSP6",74,74,NA,NA
"150","Bruneau FO 2015","BasinCM002","3",9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Bruneau FO 2015","BasinCM004","1",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Bruneau FO 2015","BasinCM004","1",10,"",NA,"BRTE",48,"Graminoid","Annual",NA,NA,NA,NA,"ELEL5",44,44,NA,NA
"153","Bruneau FO 2015","BasinCM004","1",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Bruneau FO 2015","BasinCM004","1",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Bruneau FO 2015","BasinCM004","1",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Bruneau FO 2015","BasinCM004","1",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Bruneau FO 2015","BasinCM004","1",15,"",NA,"BRTE",42,"Graminoid","Annual",NA,NA,NA,NA,"ELEL5",30,30,NA,NA
"158","Bruneau FO 2015","BasinCM004","1",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Bruneau FO 2015","BasinCM004","1",17,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Bruneau FO 2015","BasinCM004","1",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Bruneau FO 2015","BasinCM004","1",19,"",NA,"",NA,NA,NA,NA,NA,"ERPU2",16,NA,NA,16,NA,NA
"162","Bruneau FO 2015","BasinCM004","1",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Bruneau FO 2015","BasinCM004","1",20,"ARTRW8",52,"POSE",18,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,18,NA
"164","Bruneau FO 2015","BasinCM004","1",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Bruneau FO 2015","BasinCM004","1",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Bruneau FO 2015","BasinCM004","1",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Bruneau FO 2015","BasinCM004","1",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Bruneau FO 2015","BasinCM004","1",25,"",NA,"ERPU2",20,"Forb","Perennial",NA,NA,"ERPU2",12,NA,NA,12,NA,20
"169","Bruneau FO 2015","BasinCM004","1",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Bruneau FO 2015","BasinCM004","1",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Bruneau FO 2015","BasinCM004","1",5,"ARTRW8",34,"ELEL5",35,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,35,NA
"172","Bruneau FO 2015","BasinCM004","1",6,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",13,13,NA,NA
"173","Bruneau FO 2015","BasinCM004","1",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Bruneau FO 2015","BasinCM004","1",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Bruneau FO 2015","BasinCM004","1",9,"",NA,"",NA,NA,NA,"ARTRW8",59,NA,NA,NA,NA,NA,NA,NA
"176","Bruneau FO 2015","BasinCM004","2",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Bruneau FO 2015","BasinCM004","2",10,"",NA,"BRTE",41,"Graminoid","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Bruneau FO 2015","BasinCM004","2",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Bruneau FO 2015","BasinCM004","2",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Bruneau FO 2015","BasinCM004","2",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Bruneau FO 2015","BasinCM004","2",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Bruneau FO 2015","BasinCM004","2",15,"",NA,"BRTE",43,"Graminoid","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Bruneau FO 2015","BasinCM004","2",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Bruneau FO 2015","BasinCM004","2",17,"",NA,"",NA,NA,NA,"ARTRW8",70,NA,NA,NA,NA,NA,NA,NA
"185","Bruneau FO 2015","BasinCM004","2",18,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",6,6,NA,NA
"186","Bruneau FO 2015","BasinCM004","2",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Bruneau FO 2015","BasinCM004","2",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Bruneau FO 2015","BasinCM004","2",20,"ARTRW8",56,"BRTE",50,"Graminoid","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Bruneau FO 2015","BasinCM004","2",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Bruneau FO 2015","BasinCM004","2",22,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"PSSP6",52,52,NA,NA
"191","Bruneau FO 2015","BasinCM004","2",23,"",NA,"",NA,NA,NA,NA,NA,"ERPU2",11,NA,NA,11,NA,NA
"192","Bruneau FO 2015","BasinCM004","2",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"POSE",30,30,NA,NA
